66,120,89,96
77,98,93,99
80,93,94,99
76,114,65,95
70,104,75,100
73,116,86,95
65,98,63,100
77,96,93,100
66,114,89,96
65,116,86,96
79,112,60,95
61,98,62,100
77,110,80,100
77,113,98,98
79,108,81,97
77,96,99,96
70,98,64,99
76,90,93,99
72,99,68,99
73,113,87,96
76,94,94,95
62,110,84,96
66,97,70,95
71,93,60,98
79,93,96,98
67,95,89,98
71,92,82,95
78,106,96,99
66,119,100,98
64,107,63,98
71,91,89,100
75,101,67,98
71,111,77,96
68,97,80,100
64,114,66,96
69,113,90,95
62,101,60,99
74,112,70,96
62,113,96,98
73,97,96,99
65,95,63,97
61,95,80,100
71,104,86,98
66,120,96,100
64,98,69,97
73,92,81,97
69,105,80,100
78,94,81,96
62,102,76,95
75,97,61,98
68,105,71,96
74,116,87,96
78,95,89,96
61,96,84,98
61,90,61,95
73,94,100,95
70,106,64,96
64,105,83,95
60,118,66,98
78,119,64,100
63,99,77,99
60,102,75,95
70,90,93,96
80,93,83,98
60,111,83,98
77,102,100,98
79,108,87,98
79,113,88,97
77,114,74,97
77,101,64,95
77,104,66,99
65,118,70,100
72,117,85,98
73,97,81,98
62,103,77,95
62,112,76,100
69,115,68,97
74,112,94,99
76,107,77,98
78,114,61,98
63,91,72,98
63,108,80,97
60,109,68,96
65,94,100,97
60,114,98,95
60,93,60,98
60,107,90,97
64,92,87,99
75,90,83,98
78,112,96,99
64,106,62,96
74,107,93,95
66,101,84,98
66,120,60,95
64,95,91,98
77,98,67,100
73,97,88,98
77,109,67,95
79,94,61,98
68,119,82,97
76,99,67,96
66,118,78,99
72,94,96,96
62,115,70,98
69,105,75,95
68,116,63,96
70,118,87,96
71,120,94,100
68,109,75,95
80,117,68,99
65,102,69,96
77,92,94,99
63,106,90,95
63,117,91,97
65,104,63,98
74,120,91,100
62,101,80,99
60,108,92,100
80,95,81,99
77,105,80,97
66,120,89,96
77,98,93,99
80,93,94,99
76,114,65,95
70,104,75,100
73,116,86,95
65,98,63,100
77,96,93,100
66,114,89,96
65,116,86,96
79,112,60,95
61,98,62,100
77,110,80,100
77,113,98,98
79,108,81,97
77,96,99,96
70,98,64,99
76,90,93,99
72,99,68,99
73,113,87,96
76,94,94,95
62,110,84,96
66,97,70,95
71,93,60,98
79,93,96,98
67,95,89,98
71,92,82,95
78,106,96,99
66,119,100,98
64,107,63,98
71,91,89,100
75,101,67,98
71,111,77,96
68,97,80,100
64,114,66,96
69,113,90,95
62,101,60,99
74,112,70,96
62,113,96,98
73,97,96,99
65,95,63,97
61,95,80,100
71,104,86,98
66,120,96,100
64,98,69,97
73,92,81,97
69,105,80,100
78,94,81,96
62,102,76,95
75,97,61,98
68,105,71,96
74,116,87,96
78,95,89,96
61,96,84,98
61,90,61,95
73,94,100,95
70,106,64,96
64,105,83,95
60,118,66,98
78,119,64,100
63,99,77,99
60,102,75,95
70,90,93,96
80,93,83,98
60,111,83,98
77,102,100,98
79,108,87,98
79,113,88,97
77,114,74,97
77,101,64,95
77,104,66,99
65,118,70,100
72,117,85,98
73,97,81,98
62,103,77,95
62,112,76,100
69,115,68,97
74,112,94,99
76,107,77,98
65,118,70,100

